Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
0.002631206,0.002629341,0.002634943,0.002629341,0.002129054,1.94E-07,0.000150636,1.30E-08,5.62E-07,0.00948826,0,0,0.001102176,0.002004429,0.000533639,0.001985161,0.001414027,0.002017182,0.000524195,0.001995186,1
0.002680851,0.002678951,0.002684659,0.002678951,0.002129054,1.94E-07,0.000150636,1.30E-08,5.62E-07,0.00948826,0,0,0.00108138,0.002027047,0.00052357,0.002007561,0.001387347,0.002039944,0.000514305,0.002017699,1
0.002730496,0.002728561,0.002734375,0.002728561,0.002129054,1.94E-07,0.000150636,1.30E-08,5.62E-07,0.00948826,0,0,0.001061355,0.002049926,0.000513875,0.00203022,0.001361656,0.002062968,0.000504781,0.002040472,1
0.002780142,0.002778172,0.002784091,0.002778172,0.002129054,1.94E-07,0.000150636,1.30E-08,5.62E-07,0.00948826,0,0,0.001042057,0.002073051,0.000504531,0.002053123,0.001336898,0.00208624,0.000495603,0.002063491,1
0.002829787,0.002827782,0.002833807,0.002827782,0.002129054,1.94E-07,0.000150636,1.30E-08,5.62E-07,0.00948826,0,0,0.001023449,0.002096409,0.000495522,0.002076257,0.001313025,0.002109747,0.000486753,0.002086742,1
0.002879433,0.002877392,0.002883523,0.002877392,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001005494,0.002119989,0.000486829,0.00209961,0.00128999,0.002133477,0.000478213,0.002110213,1
0.00293617,0.002934089,0.002940341,0.002934089,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001129323,0.002143924,0.000546783,0.002123315,0.001448855,0.002157565,0.000537106,0.002134038,1
0.002992908,0.002990787,0.002997159,0.002990787,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001107501,0.002168197,0.000536217,0.002147355,0.001420858,0.002181992,0.000526728,0.002158199,1
0.003049645,0.003047484,0.003053977,0.003047484,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001086505,0.002192791,0.000526052,0.002171712,0.001393923,0.002206742,0.000516742,0.002182679,1
0.003106383,0.003104181,0.003110795,0.003104181,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001066291,0.00221769,0.000516265,0.002196372,0.001367989,0.002231799,0.000507128,0.002207463,1
0.003163121,0.003160879,0.003167614,0.003160879,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001046816,0.002242879,0.000506835,0.002221319,0.001343003,0.002257149,0.000497866,0.002232536,1
0.003219858,0.003217576,0.003224432,0.003217576,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001028039,0.002268344,0.000497744,0.002246539,0.001318913,0.002282776,0.000488935,0.002257884,1
0.003283688,0.003281361,0.003288352,0.003281361,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001136164,0.002294206,0.000550095,0.002272152,0.001457632,0.002308802,0.00054036,0.002283626,1
0.003347518,0.003345145,0.003352273,0.003345145,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001114079,0.002320444,0.000539402,0.002298139,0.001429297,0.002335208,0.000529856,0.002309744,1
0.003411348,0.00340893,0.003416193,0.00340893,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001092836,0.002347044,0.000529117,0.002324482,0.001402044,0.002361976,0.000519753,0.00233622,1
0.003468085,0.003465627,0.003473011,0.003465627,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.000953233,0.002373861,0.000461526,0.002351041,0.001222942,0.002388964,0.000453358,0.002362914,1
0.003531915,0.003529412,0.003536932,0.003529412,0.002838738,1.94E-07,0.000150636,1.73E-08,5.62E-07,0.00948826,0,0,0.001054843,0.002401011,0.000510722,0.00237793,0.001353302,0.002416287,0.000501684,0.002389939,1
0.003595745,0.003593196,0.003600852,0.003593196,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.00103578,0.002428479,0.000501492,0.002405135,0.001328845,0.00244393,0.000492617,0.00241728,1
0.003666667,0.003664068,0.003671875,0.003664068,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001130437,0.002456373,0.000547322,0.002432761,0.001450284,0.002472001,0.000537636,0.002445046,1
0.003737589,0.00373494,0.003742898,0.00373494,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001108572,0.002484675,0.000536736,0.00246079,0.001422232,0.002500483,0.000527237,0.002473217,1
0.003808511,0.003805811,0.00381392,0.003805811,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001087536,0.002513368,0.000526551,0.002489207,0.001395245,0.002529358,0.000517232,0.002501777,1
0.003879433,0.003876683,0.003884943,0.003876683,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001067284,0.002542435,0.000516745,0.002517995,0.001369263,0.002558611,0.000507601,0.002530711,1
0.003950355,0.003947555,0.003955966,0.003947555,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001047773,0.002571862,0.000507299,0.002547139,0.001344231,0.002588225,0.000498321,0.002560002,1
0.004028369,0.004025514,0.004034091,0.004025514,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001131858,0.002601747,0.00054801,0.002576737,0.001452107,0.0026183,0.000538312,0.002589749,1
0.004106383,0.004103473,0.004112216,0.004103473,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001109938,0.002632072,0.000537397,0.00260677,0.001423985,0.002648818,0.000527887,0.002619934,1
0.004184397,0.004181432,0.004190341,0.004181432,0.003548423,1.94E-07,0.000150636,2.16E-08,5.62E-07,0.00948826,0,0,0.001088851,0.00266282,0.000527187,0.002637223,0.001396932,0.002679761,0.000517858,0.00265054,1
0.004262411,0.004259391,0.004268466,0.004259391,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.00106855,0.002693974,0.000517359,0.002668078,0.001370887,0.002711114,0.000508203,0.002681551,1
0.004347518,0.004344437,0.004353693,0.004344437,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.001144356,0.002725628,0.000554061,0.002699427,0.001468141,0.002742969,0.000544256,0.002713058,1
0.004432624,0.004429483,0.00443892,0.004429483,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.001121954,0.00275776,0.000543215,0.002731251,0.001439401,0.002775306,0.000533602,0.002745043,1
0.00451773,0.004514529,0.004524148,0.004514529,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.001100413,0.002790355,0.000532785,0.002763532,0.001411765,0.002808108,0.000523356,0.002777488,1
0.004602837,0.004599575,0.004609375,0.004599575,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.001079683,0.002823395,0.000522748,0.002796255,0.001385169,0.002841358,0.000513497,0.002810375,1
0.004687943,0.004684621,0.004694602,0.004684621,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.001059719,0.002856864,0.000513083,0.002829402,0.001359558,0.00287504,0.000504003,0.00284369,1
0.004780142,0.004776754,0.004786932,0.004776754,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.001127188,0.002890848,0.000545749,0.002863059,0.001446116,0.00290924,0.000536091,0.002877517,1
0.00487234,0.004868887,0.004879261,0.004868887,0.004258108,1.94E-07,0.000150636,2.59E-08,5.62E-07,0.00948826,0,0,0.001105447,0.002925328,0.000535223,0.002897207,0.001418223,0.002943939,0.000525751,0.002911838,1
0.004964539,0.004961021,0.004971591,0.004961021,0.004967792,3.89E-07,0.000301273,6.05E-08,1.12E-06,0.00948826,0,0,0.001084528,0.002960287,0.000525095,0.00293183,0.001391386,0.002979121,0.000515802,0.002946636,1
0.00506383,0.005060241,0.005071023,0.005060241,0.004967792,1.94E-07,0.000150636,3.02E-08,5.62E-07,0.00948826,0,0,0.001146263,0.002995806,0.000554985,0.002967008,0.001470588,0.003014866,0.000545163,0.002981991,1
0.005163121,0.005159461,0.005170455,0.005159461,0.004967792,1.94E-07,0.000150636,3.02E-08,5.62E-07,0.00948826,0,0,0.001123787,0.003031866,0.000544103,0.003002721,0.001441753,0.003051155,0.000534474,0.003017884,1
0.005262411,0.005258682,0.005269886,0.005258682,0.004967792,1.94E-07,0.000150636,3.02E-08,5.62E-07,0.00948826,0,0,0.001102176,0.003068448,0.000533639,0.003038952,0.001414027,0.003087971,0.000524195,0.003054298,1
0.005361702,0.005357902,0.005369318,0.005357902,0.004967792,1.94E-07,0.000150636,3.02E-08,5.62E-07,0.00948826,0,0,0.00108138,0.003105536,0.00052357,0.003075683,0.001387347,0.003125294,0.000514305,0.003091215,1
0.005468085,0.00546421,0.005475852,0.00546421,0.004967792,1.94E-07,0.000150636,3.02E-08,5.62E-07,0.00948826,0,0,0.001137166,0.003143206,0.00055058,0.003112991,0.001458917,0.003163204,0.000540836,0.003128711,1
0.005574468,0.005570517,0.005582386,0.005570517,0.004967792,1.94E-07,0.000150636,3.02E-08,5.62E-07,0.00948826,0,0,0.001115042,0.003181438,0.000539868,0.003150855,0.001430533,0.003201679,0.000530314,0.003166767,1
0.005680851,0.005676825,0.00568892,0.005676825,0.005677477,1.94E-07,0.000150636,3.46E-08,5.62E-07,0.00948826,0,0,0.001093763,0.003220215,0.000529565,0.003189259,0.001403233,0.003240703,0.000520194,0.003205365,1
0.005794326,0.00579022,0.005802557,0.00579022,0.005677477,1.94E-07,0.000150636,3.46E-08,5.62E-07,0.00948826,0,0,0.001144832,0.003259609,0.000554292,0.003228275,0.001468752,0.003280347,0.000544482,0.003244577,1
0.005907801,0.005903614,0.005916193,0.005903614,0.005677477,1.94E-07,0.000150636,3.46E-08,5.62E-07,0.00948826,0,0,0.001122412,0.003299601,0.000543437,0.003267882,0.001439988,0.003320594,0.000533819,0.003284385,1
0.006021277,0.006017009,0.00602983,0.006017009,0.005677477,1.94E-07,0.000150636,3.46E-08,5.62E-07,0.00948826,0,0,0.001100853,0.003340172,0.000532998,0.003308064,0.00141233,0.003361423,0.000523566,0.003324769,1
0.006134752,0.006130404,0.006143466,0.006130404,0.005677477,1.94E-07,0.000150636,3.46E-08,5.62E-07,0.00948826,0,0,0.001080107,0.003381304,0.000522954,0.003348801,0.001385713,0.003402817,0.000513699,0.003365712,1
0.006255319,0.006250886,0.006264205,0.006250886,0.005677477,1.94E-07,0.000150636,3.46E-08,5.62E-07,0.00948826,0,0,0.001126386,0.003423067,0.000545361,0.003390162,0.001445087,0.003444846,0.000535709,0.003407282,1
0.006375887,0.006371368,0.006384943,0.006371368,0.005677477,1.94E-07,0.000150636,3.46E-08,5.62E-07,0.00948826,0,0,0.001104675,0.003465442,0.000534849,0.003432129,0.001417234,0.00348749,0.000525384,0.003449461,1
0.006496454,0.00649185,0.006505682,0.00649185,0.006387161,1.94E-07,0.000150636,3.89E-08,5.62E-07,0.00948826,0,0,0.001083786,0.003508409,0.000524735,0.003474684,0.001390434,0.003530731,0.000515449,0.00349223,1
0.006624113,0.006619419,0.006633523,0.006619419,0.006387161,1.94E-07,0.000150636,3.89E-08,5.62E-07,0.00948826,0,0,0.001126241,0.003552036,0.000545291,0.003517891,0.001444901,0.003574635,0.000535641,0.003535656,1
0.006751773,0.006746988,0.006761364,0.006746988,0.006387161,1.94E-07,0.000150636,3.89E-08,5.62E-07,0.00948826,0,0,0.001104536,0.003596303,0.000534782,0.003561733,0.001417055,0.003619184,0.000525318,0.003579719,1
0.007085106,0.007080085,0.00709517,0.007080085,0.007087383,2.92E-05,0.000150636,6.47E-06,8.43E-05,0.00948826,0,0,0.002829536,0.003643577,0.001369972,0.003608552,0.003630129,0.003666759,0.001345728,0.003626775,1
0.007432624,0.007427356,0.007443182,0.007427356,0.007096846,3.89E-07,0.000150636,8.64E-08,1.12E-06,0.00948826,0,0,0.002811156,0.003693935,0.001361073,0.003658426,0.003606548,0.003717437,0.001336986,0.0036769,1
0.007801418,0.007795889,0.0078125,0.007795889,0.007806531,3.89E-07,0.000150636,9.51E-08,1.12E-06,0.00948826,0,0,0.002843783,0.00374753,0.00137687,0.003711506,0.003648406,0.003771373,0.001352504,0.003730248,1
0.008191489,0.008185684,0.008203125,0.008185684,0.008161373,3.89E-07,0.000150636,9.94E-08,1.12E-06,0.00948826,0,0,0.002865658,0.00380451,0.001387461,0.003767938,0.003676471,0.003828716,0.001362908,0.003786966,1
0.008595745,0.008589653,0.008607955,0.008589653,0.008516215,3.89E-07,0.000150636,1.04E-07,1.12E-06,0.00948826,0,0,0.002828442,0.00386494,0.001369442,0.003827787,0.003628724,0.00388953,0.001345207,0.003847117,1
0.009021277,0.009014883,0.009034091,0.009014883,0.008942026,9.72E-07,0.000150636,2.72E-07,2.81E-06,0.00948826,0,0,0.002837285,0.003928959,0.001373724,0.00389119,0.00364007,0.003953956,0.001349413,0.00391084,1
0.009468085,0.009461375,0.009481534,0.009461375,0.0092259,3.89E-07,0.000150636,1.12E-07,1.12E-06,0.00948826,0,0,0.002838623,0.0039967,0.001374372,0.003958281,0.003641787,0.004022129,0.00135005,0.00397827,1
0.00993617,0.009929128,0.009950284,0.009929128,0.009935584,3.89E-07,0.000150636,1.21E-07,1.12E-06,0.00948826,0,0,0.00283346,0.004068295,0.001371872,0.004029187,0.003635162,0.004094178,0.001347594,0.004049534,1
0.010432624,0.01042523,0.010447443,0.01042523,0.010290427,3.89E-07,0.000150636,1.25E-07,1.12E-06,0.00948826,0,0,0.002863613,0.004143943,0.001386471,0.004104108,0.003673846,0.004170308,0.001361935,0.004124834,1
0.010950355,0.010942594,0.010965909,0.010942594,0.010645269,3.89E-07,0.000150636,1.30E-07,1.12E-06,0.00948826,0,0,0.002844229,0.004223764,0.001377086,0.004183162,0.003648978,0.004250637,0.001352716,0.004204286,1
0.011496454,0.011488306,0.011512784,0.011488306,0.011354953,3.89E-07,0.000150636,1.38E-07,1.12E-06,0.00948826,0,0,0.002858234,0.004307946,0.001383867,0.004266535,0.003666946,0.004335355,0.001359377,0.00428808,1
0.012070922,0.012062367,0.012088068,0.012062367,0.012064638,3.89E-07,0.000150636,1.47E-07,1.12E-06,0.00948826,0,0,0.00286389,0.004396673,0.001386606,0.004354409,0.003674203,0.004424646,0.001362067,0.004376398,1
0.012673759,0.012664777,0.012691761,0.012664777,0.01241948,3.89E-07,0.000150636,1.51E-07,1.12E-06,0.00948826,0,0,0.002862291,0.00449012,0.001385831,0.004446957,0.00367215,0.004518687,0.001361306,0.004469414,1
0.013304965,0.013295535,0.013323864,0.013295535,0.013129165,3.89E-07,0.000150636,1.60E-07,1.12E-06,0.00948826,0,0,0.002854433,0.004588457,0.001382027,0.004544349,0.003662069,0.00461765,0.001357569,0.004567297,1
0.013964539,0.013954642,0.013984375,0.013954642,0.01395713,1.17E-06,0.000301273,5.10E-07,3.37E-06,0.00948826,0,0,0.002841217,0.004691849,0.001375628,0.004646747,0.003645115,0.0047217,0.001351284,0.004670213,1
0.014659574,0.014649185,0.014680398,0.014649185,0.014548534,3.89E-07,0.000150636,1.77E-07,1.12E-06,0.00948826,0,0,0.002852559,0.004800526,0.00138112,0.00475438,0.003659666,0.004831069,0.001356678,0.004778389,1
0.015390071,0.015379164,0.015411932,0.015379164,0.015258219,3.89E-07,0.000150636,1.86E-07,1.12E-06,0.00948826,0,0,0.002855953,0.004914712,0.001382763,0.004867468,0.00366402,0.004945981,0.001358292,0.004892048,1
